대지위치,세대수,가구수,노후화
서울특별시 강남구 삼성동 122-28,0,3,24
서울특별시 강남구 신사동 541-15,0,0,25
서울특별시 강남구 논현동 167-7,0,10,28
서울특별시 강남구 논현동 263-9,0,0,38
서울특별시 강남구 개포동 704,0,1,25
서울특별시 강남구 신사동 626-76,0,1,48
서울특별시 강남구 대치동 918-10,0,3,30
서울특별시 강남구 대치동 922-27,0,1,35
서울특별시 강남구 신사동 657-41,0,0,44
서울특별시 강남구 역삼동 691-16,0,12,23
서울특별시 강남구 역삼동 713-7,76,0,18
서울특별시 강남구 개포동 654,36,0,39
서울특별시 강남구 역삼동 708-25,0,0,29
서울특별시 강남구 대치동 979-22,3,0,37
서울특별시 강남구 역삼동 645-11,0,1,32
서울특별시 강남구 역삼동 750-12,0,7,29
서울특별시 강남구 논현동 268-13,0,1,23
서울특별시 강남구 세곡동 374-3,0,5,2
서울특별시 강남구 대치동 988-7,0,0,21
서울특별시 강남구 역삼동 830-16,0,0,2
서울특별시 강남구 신사동 561-35,0,0,2
서울특별시 강남구 논현동 212-8,0,0,1
서울특별시 강남구 논현동 83-12,0,0,2
서울특별시 강남구 논현동 12-10,0,1,12
서울특별시 강남구 역삼동 783-19,0,0,15
서울특별시 강남구 신사동 540-5,0,0,15
서울특별시 강남구 대치동 905-24,0,9,15
서울특별시 강남구 신사동 563-12,0,0,12
서울특별시 강남구 역삼동 631-1,0,0,11
서울특별시 강남구 역삼동 827-76,0,0,1
서울특별시 강남구 청담동 7-1,0,0,17
서울특별시 강남구 역삼동 719-35,0,0,17
서울특별시 강남구 논현동 209-4,0,0,16
서울특별시 강남구 대치동 1001-16,0,0,16
서울특별시 강남구 역삼동 769-8,0,0,16
서울특별시 강남구 역삼동 834-17,0,9,16
서울특별시 강남구 청담동 56,0,1,30
서울특별시 강남구 자곡동 241-3,0,1,34
서울특별시 강남구 역삼동 657-13,0,6,24
서울특별시 강남구 개포동 1233-11,0,1,37
서울특별시 강남구 압구정동 5,0,1,51
서울특별시 강남구 대치동 897-18,0,0,25
서울특별시 강남구 역삼동 639-17,0,12,29
서울특별시 강남구 개포동 1240-2,0,16,29
서울특별시 강남구 신사동 524-1,0,0,13
서울특별시 강남구 역삼동 672-32,0,0,13
서울특별시 강남구 논현동 29-6,0,1,13
서울특별시 강남구 역삼동 834-52,0,0,37
서울특별시 강남구 신사동 630-33,0,1,43
서울특별시 강남구 청담동 124-3,0,0,12
서울특별시 강남구 역삼동 779-1,0,1,12
서울특별시 강남구 역삼동 723-3,0,0,7
서울특별시 강남구 대치동 943,0,0,7
서울특별시 강남구 역삼동 814-5,0,0,49
서울특별시 강남구 청담동 118-8,0,0,18
서울특별시 강남구 논현동 177-18,0,0,32
서울특별시 강남구 삼성동 44-6,0,9,30
서울특별시 강남구 논현동 7-15,0,0,41
서울특별시 강남구 대치동 888-890,0,0,43
서울특별시 강남구 신사동 628-2,1,1,18
서울특별시 강남구 신사동 578-3,0,0,43
서울특별시 강남구 도곡동 106-1,0,0,14
서울특별시 강남구 역삼동 708-23,0,0,14
서울특별시 강남구 세곡동 181-6,0,0,40
서울특별시 강남구 삼성동 150-11,0,8,24
서울특별시 강남구 역삼동 724-7,0,13,30
서울특별시 강남구 신사동 662-8,0,0,37
서울특별시 강남구 대치동 961-1,0,0,36
서울특별시 강남구 개포동 1261-9,0,0,35
서울특별시 강남구 역삼동 762-3,130,0,15
서울특별시 강남구 신사동 521-18,15,0,22
서울특별시 강남구 일원동 637,3,0,19
서울특별시 강남구 청담동 37,20,0,23
서울특별시 강남구 대치동 898-29,10,0,24
서울특별시 강남구 역삼동 779-5,0,0,50
서울특별시 강남구 역삼동 785-9,0,6,28
서울특별시 강남구 역삼동 637-19,0,0,34
서울특별시 강남구 역삼동 697-49,0,9,29
서울특별시 강남구 논현동 95-18,0,1,29
서울특별시 강남구 신사동 560-20,0,0,5
서울특별시 강남구 역삼동 620-6,0,0,5
서울특별시 강남구 세곡동 352-3,0,2,5
서울특별시 강남구 논현동 130-24,0,6,28
서울특별시 강남구 삼성동 9-2,0,0,33
서울특별시 강남구 역삼동 834-4,0,0,34
서울특별시 강남구 대치동 900-52,0,0,20
서울특별시 강남구 논현동 208-5,0,0,7
서울특별시 강남구 세곡동 170-14,0,3,7
서울특별시 강남구 청담동 3,0,0,7
서울특별시 강남구 논현동 124-31,0,1,35
서울특별시 강남구 청담동 37-1,0,18,25
서울특별시 강남구 논현동 57-30,0,0,30
서울특별시 강남구 역삼동 825-27,0,0,4
서울특별시 강남구 대치동 932-27,0,0,10
서울특별시 강남구 세곡동 세곡2공공주택지구,0,4,9
서울특별시 강남구 개포동 1265-6,8,0,21
서울특별시 강남구 삼성동 166-6,0,0,44
서울특별시 강남구 논현동 191-4,15,0,44
서울특별시 강남구 일원동 684-7,1,1,38
서울특별시 강남구 대치동 50-8,0,0,6
서울특별시 강남구 논현동 209-3,0,0,6
서울특별시 강남구 삼성동 73,0,0,6
서울특별시 강남구 일원동 667-6,0,1,38
서울특별시 강남구 논현동 139-4,0,9,30
서울특별시 강남구 청담동 88-22,0,1,27
서울특별시 강남구 논현동 270-17,0,0,48
서울특별시 강남구 논현동 156-27,0,0,2
서울특별시 강남구 논현동 178-5,3,0,39
서울특별시 강남구 대치동 935-25,6,0,39
