대지위치,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률(%),구조,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),노후화,위도,경도
서울특별시 강남구 역삼동 660-24번지,264.7,158.78,59.98,600.54,167.47,7,0,9,9.2,3,1,0,0,0,0.0,600.54,24,37.5055713,127.0371451
서울특별시 강남구 역삼동 622-4번지,295.9,147.34,49.79,484.12,89.48,7,0,14,7.9,2,2,0,0,0,0.0,484.12,22,37.5030742,127.0295162
서울특별시 강남구 역삼동 622-5번지,0.0,102.68,0.0,189.89,0.0,2,0,1,0.0,2,1,0,0,0,0.0,189.89,43,37.5031725,127.0293511
서울특별시 강남구 역삼동 622-6번지,0.0,83.93,0.0,157.29,0.0,2,0,0,0.0,2,1,0,0,0,0.0,157.29,47,37.5032508,127.0292134
서울특별시 강남구 역삼동 622-7번지,267.7,132.28,49.41,594.31,98.17,7,0,0,10.4,2,2,1,0,0,0.0,594.31,4,37.5033338,127.0290702
서울특별시 강남구 역삼동 622-8번지,885.8,0.0,0.0,347.38,30.4,2,0,0,0.0,2,1,0,0,0,0.0,347.38,47,37.5031812,127.0290038
서울특별시 강남구 역삼동 622-8번지,885.8,0.0,0.0,492.8,51.77,7,0,0,0.0,2,1,0,0,0,0.0,492.8,47,37.5031812,127.0290038
서울특별시 강남구 역삼동 622-10번지,671.37,185.77,27.67,290.6,37.05,2,0,1,7.5,2,1,0,0,0,0.0,290.6,36,37.5029093,127.0294112
서울특별시 강남구 역삼동 622-11번지,234.1,116.46,49.748,410.23,98.7356,7,0,0,9.61,2,1,0,0,0,0.0,410.23,8,37.5027231,127.0292364
서울특별시 강남구 역삼동 622-12번지,221.14,109.44,49.49,326.43,92.76,7,0,0,7.62,2,1,0,0,0,0.0,326.43,13,37.5027909,127.0291108
서울특별시 강남구 역삼동 622-13번지,0.0,83.84,0.0,148.9,0.0,2,0,1,0.0,2,1,0,0,0,0.0,148.9,47,37.5028569,127.0289927
서울특별시 강남구 역삼동 622-14번지,464.2,137.29,29.58,206.29,39.65,2,0,1,6.0,2,1,0,0,0,0.0,206.29,47,37.5029356,127.0287861
서울특별시 강남구 역삼동 622-15번지,469.8,234.79,49.98,1120.2,99.37,7,0,1,6.0,2,2,0,0,0,0.0,1120.2,24,37.5028094,127.0286762
서울특별시 강남구 역삼동 622-16번지,0.0,105.88,0.0,309.09,0.0,2,0,1,0.0,2,1,0,0,0,0.0,309.09,42,37.5026906,127.0288721
서울특별시 강남구 역삼동 622-17번지,280.9,135.87,48.37,135.87,48.37,2,0,0,4.95,1,0,0,0,0,0.0,135.87,29,37.5026067,127.0290214
서울특별시 강남구 역삼동 778-19번지,235.1,140.36,59.7,464.84,197.72,7,12,0,15.8,5,0,0,0,0,0.0,464.84,4,37.4958132,127.0437511
서울특별시 강남구 역삼동 778-20번지,558.2,334.89,59.99,1605.63,213.14,7,8,0,11.3,4,1,1,0,0,0.0,1605.63,27,37.4956743,127.0438167
서울특별시 강남구 역삼동 778-22번지,248.8,148.43,59.66,489.56,196.77,7,7,0,13.1,5,0,0,0,0,0.0,489.56,22,37.4958645,127.0439174
서울특별시 강남구 역삼동 778-23번지,246.4,147.45,59.8417,455.15,184.72,7,10,0,13.1,5,0,0,0,0,0.0,455.15,12,37.4959942,127.0438568
서울특별시 강남구 역삼동 778-24번지,275.4,146.66,53.25,748.9,199.64,7,12,0,18.0,5,1,1,0,0,0.0,748.9,8,37.4961315,127.0437928
서울특별시 강남구 역삼동 778-26번지,190.6,113.4,59.5,496.05,199.61,7,12,0,15.1,5,1,1,0,0,0.0,496.05,8,37.496192,127.0439814
서울특별시 강남구 역삼동 778-28번지,233.0,130.95,56.2,434.61,186.53,7,6,0,13.45,5,0,0,0,0,0.0,434.61,21,37.4960792,127.0441669
서울특별시 강남구 역삼동 778-29번지,212.5,117.0,55.06,539.17,199.09,7,11,0,15.09,5,1,1,0,0,0.0,539.17,8,37.4962311,127.0441114
서울특별시 강남구 역삼동 778-30번지,201.5,120.0,59.5533,400.18,198.6005,7,10,0,14.2,5,0,1,0,0,0.0,400.18,11,37.4962722,127.0442452
서울특별시 강남구 역삼동 788-1번지,427.8,203.02,47.46,1050.76,177.01,7,0,0,13.5,4,1,0,0,0,0.0,1050.76,33,37.4933683,127.0406748
서울특별시 강남구 역삼동 788-2번지,1295.6,644.58,49.75,6445.86,290.92,7,0,0,26.86,6,2,0,0,0,0.0,6445.86,35,37.4934613,127.0407903
서울특별시 강남구 역삼동 788-4번지,251.8,143.82,57.12,570.46,195.91,7,8,0,14.1,4,1,0,0,0,0.0,570.46,22,37.4933668,127.0412958
